film_key,title,year,wiki_id,method
Ghost Dog: The Way of the Samurai||1999,Ghost Dog: The Way of the Samurai,1999,471352,Title
Stray Dog||1949,Stray Dog,1949,867905,Title (film)
Big Trouble in Little China||1986,Big Trouble in Little China,1986,697113,Title
Young Frankenstein||1974,Young Frankenstein,1974,442647,Title (film)
Poetry||2010,Poetry,2010,26964199,Title (film)
Kind Hearts and Coronets||1949,Kind Hearts and Coronets,1949,350908,Title
Jour de Fête||1949,Jour de Fête,1949,30863517,Title
Thomasine & Bushrod||1974,Thomasine & Bushrod,1974,4340576,Title
Stop Making Sense||1984,Stop Making Sense,1984,1471831,Title
Black Rain||1989,Black Rain,1989,3529964,search
Ring||1998,Ring,1998,180785,Title (YEAR film)
On the Town||1949,On the Town,1949,12816415,Title (film)
The Taking of Pelham One Two Three||1974,The Taking of Pelham One Two Three,1974,955409,Title (YEAR film)
Audition||1999,Audition,1999,587265,Title (YEAR film)
All About My Mother||1999,All About My Mother,1999,61664,Title
Female Trouble||1974,Female Trouble,1974,1328186,Title
Heathers||1989,Heathers,1989,13901,Title
"Sorry, Wrong Number||1948","Sorry, Wrong Number",1948,183828,Title (film)
In a Lonely Place||1950,In a Lonely Place,1950,812818,Title
Spider-Man: Far From Home||2019,Spider-Man: Far From Home,2019,52179698,Title
Late Spring||1949,Late Spring,1949,846329,Title
Whisper of the Heart||1995,Whisper of the Heart,1995,25382451,Title (film)
Beau Travail||2000,Beau Travail,2000,415881,Title
A Woman Under the Influence||1974,A Woman Under the Influence,1974,76643,Title
The Wind Rises||2013,The Wind Rises,2013,37731694,Title
But I'm a Cheerleader||2000,But I'm a Cheerleader,2000,770156,Title
Train to Busan||2016,Train to Busan,2016,50461635,Title
Freaky Friday||2003,Freaky Friday,2003,2236324,Title (YEAR film)
Return to Reason: Four Films by Man Ray||2024,Return to Reason: Four Films by Man Ray,2024,42163310,search
Snowpiercer||2013,Snowpiercer,2013,35816879,Title (film)
Martial Law||1990,Martial Law,1990,18791040,Title (YEAR film)
Black Tight Killers||1966,Black Tight Killers,1966,26249449,Title
Darkman||1990,Darkman,1990,1839695,Title
Minari||2021,Minari,2021,61276724,Title (film)
12 Angry Men||1957,12 Angry Men,1957,92605,Title (YEAR film)
Opponent||2023,Opponent,2023,74552614,Title (film)
Spider-Man: No Way Home||2021,Spider-Man: No Way Home,2021,52239333,Title
Candyman||1992,Candyman,1992,1256990,Title (YEAR film)
Poison||1991,Poison,1991,7444907,Title (YEAR film)
Get Out||2017,Get Out,2017,48526729,Title (YEAR film)
Rosemary's Baby||1968,Rosemary's Baby,1968,9830229,Title (film)
Wayne's World||1992,Wayne's World,1992,77744,Title (film)
Purple Rain||1984,Purple Rain,1984,226331,Title (film)
Past Lives||2023,Past Lives,2023,72724981,Title (film)
School Daze||1988,School Daze,1988,2851281,Title
Teenage Mutant Ninja Turtles||1990,Teenage Mutant Ninja Turtles,1990,2323962,Title (YEAR film)
Road to Boston||2023,Road to Boston,2023,70494290,Title
Dick Tracy||1990,Dick Tracy,1990,725984,Title (YEAR film)
My Own Private Idaho||1991,My Own Private Idaho,1991,605198,Title
"Kim Ji-young, Born 1982||2019","Kim Ji-young, Born 1982",2019,64033010,Title (film)
Rear Window||1954,Rear Window,1954,74577,Title (YEAR film)
Funny Games||1997,Funny Games,1997,3870912,Title (YEAR film)
Us||2019,Us,2019,57371131,Title (YEAR film)
Young Soul Rebels||1991,Young Soul Rebels,1991,9536996,Title
The Shining||1980,The Shining,1980,1186616,Title (film)
Selena||1997,Selena,1997,275547,Title (film)
The Apple||1980,The Apple,1980,5461234,Title (YEAR film)
Spa Night||2016,Spa Night,2016,49210494,Title
Street of Chance||1942,Street of Chance,1942,3577967,Title (YEAR film)
Never Open That Door||1952,Never Open That Door,1952,9911779,Title
Parasite||2019,Parasite,2019,56746570,Title (YEAR film)
V for Vendetta||2006,V for Vendetta,2006,1891886,Title (YEAR film)
Across the Bridge||1957,Across the Bridge,1957,24817139,Title (film)
Zero Focus||1961,Zero Focus,1961,13748529,Title
Anselm||2023,Anselm,2023,73588916,Title (film)
Black Tuesday||1954,Black Tuesday,1954,2321684,Title (YEAR film)
